What,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,UTC Date
Wiki trends,Subaru Impreza,Neil Peart,Angus Wallace,Jeffrey Epstein,"Meghan, Duchess of Sussex",1917 (2019 film),Montana,Iran Air Flight 655,Ukraine International Airlines Flight 752,Philosophy,Science,Elizabeth II,English language,The Witcher (TV series),Qasem Soleimani,"Prince Harry, Duke of Sussex",Deaths in 2020,Object (philosophy),Tanhaji,Laxmi Agarwal,Elon Musk,Chhapaak,Knowledge,Underwater (film),Fact,Reality,Object of the mind,Grimes (musician),Luka Magnotta,Darbar (film),Tor missile system,"Charles, Prince of Wales",Lyme disease,Rush (band),Star Wars: The Rise of Skywalker,Edd Byrnes,Ethan Suplee,You (TV series),BBC World Service,Iran,Dracula (2020 TV series),James Holzhauer,Joker (2019 film),"Prince Philip, Duke of Edinburgh",Parasite (2019 film),Minus33,Linguistics,"Diana, Princess of Wales",Jeopardy! The Greatest of All Time,Rare (Selena Gomez album),2020-01-10
Wiki trends,Neil Peart,Qaboos bin Said al Said,Haitham bin Tariq Al Said,1917 (2019 film),Iran Air Flight 655,Rush (band),Tanhaji,"Meghan, Duchess of Sussex",Oman,Ukraine International Airlines Flight 752,Chhapaak,Elizabeth II,The Witcher (TV series),Jimmy Garoppolo,Laxmi Agarwal,Tanaji Malusare,Deaths in 2020,Philosophy,Luka Magnotta,Joker (2019 film),Star Wars: The Rise of Skywalker,Glioblastoma,Japhet Tanganga,Object (philosophy),Joaquin Phoenix,"Prince Harry, Duke of Sussex",Once Upon a Time in Hollywood,Pamela Smart,Said bin Taimur,You (TV series),Science,Knowledge,Reality,Fact,Object of the mind,"Charles, Prince of Wales",Katie Sowers,Darbar (film),"Princess Margaret, Countess of Snowdon",Qasem Soleimani,Parasite (2019 film),Dracula (2020 TV series),Jimmy Hoffa,"Prince Philip, Duke of Edinburgh",Justin Hawkins,Underwater (film),Jeffrey Epstein,Iran,Messiah (American TV series),You (season 2),2020-01-11
Wiki trends,Taal Volcano,Derrick Henry,Mike Vrabel,Patrick Mahomes,Bill Cowher,1917 (2019 film),Ryan Tannehill,Tanhaji,Neil Peart,George Foreman,Lamar Jackson,"Meghan, Duchess of Sussex",Andy Reid,Elizabeth II,Chhapaak,The Witcher (TV series),List of Super Bowl champions,Tanaji Malusare,Laxmi Agarwal,Tennessee Titans,Joker (2019 film),Star Wars: The Rise of Skywalker,Ala Vaikunthapurramuloo,Luka Magnotta,Deaths in 2020,File:Logo of YouTube (2015-2017).svg,Qaboos bin Said Al Said,Haitham bin Tariq Al Said,Iran Air Flight 655,Joaquin Phoenix,Once Upon a Time in Hollywood,"Prince Harry, Duke of Sussex",Swami Vivekananda,You (TV series),Ukraine International Airlines Flight 752,"Princess Margaret, Countess of Snowdon","Charles, Prince of Wales",Michael Bloomberg,La Parka,"Prince Philip, Duke of Edinburgh",Christine Keeler,Stephen Ward,Parasite (2019 film),Jimmy Hoffa,Pat Mahomes,Kansas City Chiefs,Kevin Stefanski,Caprice Bourret,Kim Novak,Messiah (American TV series),2020-01-12
Wiki trends,Under arms,Jimmy Johnson (American football coach),Taal Volcano,92nd Academy Awards,2005 Glendale train crash,"Morbius, the Living Vampire",Aaron Rodgers,Morbius (film),Quique Setién,1917 (2019 film),Joaquin Phoenix,Parasite (2019 film),"Meghan, Duchess of Sussex",Tanhaji,NikkieTutorials,Joker (2019 film),Donald trump,Elizabeth II,The Outsider (miniseries),Matt LaFleur,List of Super Bowl champions,C. David Baker,Neil Peart,Marshawn Lynch,River Phoenix,The Witcher (TV series),The Outsider (King novel),Patrick Mahomes,Chhapaak,Jojo Rabbit,Deaths in 2020,Troy Aikman,Star Wars: The Rise of Skywalker,"Prince Harry, Duke of Sussex",Russell Wilson,Once Upon a Time in Hollywood,Ala Vaikunthapurramuloo,Tanaji Malusare,Lohri,"Charles, Prince of Wales",Wikipedia:Unusual articles,Green Bay Packers,Luka Magnotta,Little Women (2019 film),Florence Pugh,Marriage Story (2019 film),25th Critics' Choice Awards,The Irishman,You (TV series),"Prince Philip, Duke of Edinburgh",2020-01-13
Wiki trends,Special:Search,Joe Burrow,Quique Setién,"Morbius, the Living Vampire",Ed Orgeron,Randy Moss,Donald trump,Morbius (film),NikkieTutorials,Trevor Lawrence (American football),Taal Volcano,Kaifi Azmi,"Meghan, Duchess of Sussex",Parasite (2019 film),Boreal forest of Canada,Tanhaji,Wikipedia:Protection policy,1917 (2019 film),92nd Academy Awards,LSU Tigers football,College Football Playoff National Championship,Jim Brown,Elizabeth II,Crisis on Infinite Earths (Arrowverse),Joker (2019 film),Colt Brennan,Clemson Tigers football,Deaths in 2020,Rambin (surname),Clemson University,2020 College Football Playoff National Championship,The Witcher (TV series),Makar Sankranti,Lauren Daigle,Joaquin Phoenix,Thaddeus Moss,Chhapaak,The Outsider (miniseries),Billie Eilish,Vince Vaughn,Dabo Swinney,"Prince Harry, Duke of Sussex",Florence Pugh,Tanaji Malusare,You (TV series),Stan Kirsch,Luka Magnotta,Ala Vaikunthapurramuloo,Star Wars: The Rise of Skywalker,Ritu Nanda,2020-01-14
Wiki trends,Aaron Hernandez,Crisis on Infinite Earths (Arrowverse),Donald trump,Luke Kuechly,Tom Steyer,Tanhaji,"Morbius, the Living Vampire",1917 (2019 film),Taal Volcano,Stan Kirsch,Ken Jennings,"Meghan, Duchess of Sussex",White House Farm murders,Makar Sankranti,Pete Buttigieg,Gangubai Kathiawadi,Murder of Odin Lloyd,Deaths in 2020,Parasite (2019 film),Morbius (film),Joe Burrow,Alex Cora,Elizabeth Warren,Elizabeth II,Gleek (Super Friends),The Witcher (TV series),NikkieTutorials,Billie Eilish,Vladimir Putin,Luka Magnotta,Media,Amy Klobuchar,Martin Luther King Jr.,Star Wars: The Rise of Skywalker,Tanaji Malusare,Chhapaak,Gustav III of Sweden's coffee experiment,Joker (2019 film),Quique Setién,You (TV series),2020 Democratic Party presidential primaries,92nd Academy Awards,Ala Vaikunthapurramuloo,Alexander Bogdanov,Bad Boys for Life,Bernie Sanders,Drew Pearson (American football),The Outsider (miniseries),Michael Bloomberg,Portal:Current events,2020-01-15
Wiki trends,Aaron Hernandez,Rocky Johnson,Crisis on Infinite Earths (Arrowverse),Murder of Odin Lloyd,Dwayne Johnson,Murder of Graeme Thorne,Lev Parnas and Igor Fruman,Tanhaji,Muhammad,Donald trump,1917 (2019 film),Deaths in 2020,Donald Cerrone,White House Farm murders,Johannes Hentschel,"Morbius, the Living Vampire",File:Msg plus.png,Parasite (2019 film),Robert Downey Jr.,Bad Boys for Life,Joaquin Phoenix,Christopher Tolkien,Martin Luther King Jr.,Elizabeth II,Media,"Meghan, Duchess of Sussex",The Witcher (TV series),Conor McGregor,Taal Volcano,Luka Magnotta,John Roberts,Fred Willard,Dolittle (film),Morbius (film),Jean jacket,Drew Pearson (American football),Ala Vaikunthapurramuloo,Joker (2019 film),Chhapaak,Chronic traumatic encephalopathy,Vladimir Putin,J. R. R. Tolkien,Star Wars: The Rise of Skywalker,You (TV series),BBC World Service,Tanaji Malusare,Portal:Current events,Kepler's Supernova,Brooklyn,Madhurima Tuli,2020-01-16
Wiki trends,Aaron Hernandez,Muhammad,Music to Be Murdered By,Ligurian Republic,Eminem,Richard Pryor,Murder of Odin Lloyd,Bad Boys for Life,1917 (2019 film),Crisis on Infinite Earths (Arrowverse),Betty White,Rocky Johnson,Lev Parnas and Igor Fruman,Tanhaji,Sex Education (TV series),Deaths in 2020,Derek Fowlds,Donald Cerrone,Shinkansen,Dolittle (film),Laurence Fox,Parasite (2019 film),Martin Luther King Jr.,Christopher Tolkien,Dwayne Johnson,Mac Miller,J. R. R. Tolkien,Rashami Desai,Conor McGregor,Andrew Yang,Patrick Stewart,Elizabeth II,Luka Magnotta,The Witcher (TV series),Joker (2019 film),Ted Kaczynski,Alan Dershowitz,"Meghan, Duchess of Sussex",Ala Vaikunthapurramuloo,Florence,Chronic traumatic encephalopathy,Circles (Mac Miller album),"Morbius, the Living Vampire",Billie Eilish,Terminator: Dark Fate,Brooklyn,Martha McSally,BBC World Service,Joaquin Phoenix,You (TV series),2020-01-17
Wiki trends,Aaron Hernandez,1917 (2019 film),Sex Education (TV series),Murder of Odin Lloyd,Bad Boys for Life,Donald Cerrone,Conor McGregor,Music to Be Murdered By,Ted Kaczynski,UFC 246,Tanhaji,Crisis on Infinite Earths (Arrowverse),James Doohan,Betty White,"Prince Harry, Duke of Sussex","Meghan, Duchess of Sussex",Parasite (2019 film),Joker (2019 film),Elizabeth II,Eminem,Deaths in 2020,Royal Rumble (2020),Erling Braut Håland,Dolittle (film),Teddy Sheringham,Rocky Johnson,Luka Magnotta,Once Upon a Time in Hollywood,The Witcher (TV series),Hassan Jameel,"Prince Philip, Duke of Edinburgh",Jimmy Hoffa,Terminator: Dark Fate,"Charles, Prince of Wales",The Irishman,Dwayne Johnson,Ala Vaikunthapurramuloo,Joaquin Phoenix,"Princess Margaret, Countess of Snowdon",Tanaji Malusare,Chronic traumatic encephalopathy,Star Wars: The Rise of Skywalker,Patrick Stewart,Sharon Tate,You (TV series),Mac Miller,BBC World Service,Ken Miles,1996 California Proposition 218,Tim Tebow,2020-01-18
Wiki trends,Aaron Hernandez,Patrick Mahomes,Conor McGregor,UFC 246,Donald Cerrone,Andy Reid,Kansas City Chiefs,1917 (2019 film),Sex Education (TV series),List of Super Bowl champions,Murder of Odin Lloyd,Holly Holm,Mike Vrabel,Khabib Nurmagomedov,Pat Mahomes,"Meghan, Duchess of Sussex",Bad Boys for Life,Wikipedia,"Prince Harry, Duke of Sussex",Elizabeth II,Stephen Ward,Media,Jimmy Garoppolo,Tanhaji,Joker (2019 film),Parasite (2019 film),Super Bowl I,Lamar Hunt,Derrick Henry,Jorge Masvidal,Crisis on Infinite Earths (Arrowverse),Nikola Tesla,Deaths in 2020,Luka Magnotta,Aleksei Oleinik,Once Upon a Time in Hollywood,Ryan Tannehill,"Charles, Prince of Wales",Aaron Rodgers,Super Bowl,Dolittle (film),The Witcher (TV series),Mixed martial arts weight classes,Clark Hunt,Jimmy Hoffa,Music to Be Murdered By,Tennessee Titans,"Prince Philip, Duke of Edinburgh",Raquel Pennington,Terminator: Dark Fate,2020-01-19
Wiki trends,Aaron Hernandez,Raheem Mostert,Martin Luther King Jr.,Jimmy Garoppolo,Patrick Mahomes,List of Super Bowl champions,Aaron Rodgers,Blue Monday (date),Wikipedia,Martin Luther King Jr. Day,San Francisco 49ers,Jennifer Aniston,Kyle Shanahan,Parasite (2019 film),Andy Reid,Brad Pitt,1917 (2019 film),Kansas City Chiefs,Media,Sex Education (TV series),John Lynch (American football),Jerry Rice,Coronavirus,Super Bowl LIV,26th Screen Actors Guild Awards,Conor McGregor,Murder of Odin Lloyd,Bad Boys for Life,"Meghan, Duchess of Sussex","Prince Harry, Duke of Sussex",Super Bowl,Elizabeth II,Tanhaji,David Olney,Deaths in 2020,Mufidah Abdul Rahman,Mike Shanahan,Isaac Asimov,Darrelle Revis,James Earl Ray,Joker (2019 film),Crisis on Infinite Earths (Arrowverse),The Outsider (miniseries),Rob Lowe,Isabel dos Santos,Joaquin Phoenix,Gillian Anderson,Once Upon a Time in Hollywood,Chicago,Richard Sherman (American football),2020-01-20
Wiki trends,Aaron Hernandez,MBC 2 (Middle East and North Africa),Delonte West,Coronavirus,Martin Luther King Jr.,Wikipedia,Sex Education (TV series),Hugh Laurie,1917 (2019 film),Murder of Odin Lloyd,Parasite (2019 film),Jennifer Aniston,Deaths in 2020,Royal Rumble (2020),"Meghan, Duchess of Sussex",Brad Pitt,Bad Boys for Life,Tanhaji,Patrick Mahomes,Elizabeth II,2019–20 outbreak of novel coronavirus (2019-nCoV),Tim Tebow,Ozzy Osbourne,"Prince Harry, Duke of Sussex",Crisis on Infinite Earths (Arrowverse),Demi-Leigh Nel-Peters,Conor McGregor,James Earl Ray,Severe acute respiratory syndrome,Joker (2019 film),Luka Magnotta,Martin Luther King Jr. Day,List of Super Bowl champions,The Witcher (TV series),The Outsider (miniseries),Greta Thunberg,Media,"Charles, Prince of Wales",Brooklyn,Dolittle (film),BBC World Service,Novel coronavirus (2019-nCoV),Emma Mackey,Blue Monday (date),Once Upon a Time in Hollywood,Liv Tyler,Joaquin Phoenix,Portal:Current events,Music to Be Murdered By,Andy Reid,2020-01-21
Wiki trends,Feminism,Anna May Wong,Coronavirus,Terry Jones,Aaron Hernandez,Delonte West,Peter Tordenskjold,Monty Python,2019–20 outbreak of novel coronavirus (2019-nCoV),Sex Education (TV series),Larry Walker,1917 (2019 film),Deaths in 2020,Timothy Evans,Graham Chapman,Derek Jeter,Adam Schiff,Tanhaji,Parasite (2019 film),Martin Luther King Jr.,Murder of Odin Lloyd,Severe acute respiratory syndrome,Disappearance of Kristin Smart,Media,Bad Boys for Life,Elizabeth II,White House Farm murders,Lisa Nandy,"Meghan, Duchess of Sussex",Jeff Bezos,Wuhan,Terry Gilliam,The Witcher (TV series),Hakeem Jeffries,Royal Rumble (2020),Crisis on Infinite Earths (Arrowverse),Joker (2019 film),Wikipedia,Luka Magnotta,Portal:Current events,Subhas Chandra Bose,Michael Palin,Novel coronavirus (2019-nCoV),Emma Mackey,Pamela Anderson,Jon Peters,John Cleese,Brooklyn,Tom Kenny,BBC World Service,2020-01-22
Wiki trends,Coronavirus,Subhas Chandra Bose,Aaron Hernandez,Wikipedia,2019–20 outbreak of novel coronavirus (2019-nCoV),Terry Jones,Annabella Sciorra,Wuhan,Sex Education (TV series),Deaths in 2020,Star Trek: Picard,Zion Williamson,Anna May Wong,Adam Schiff,Severe acute respiratory syndrome,Novel coronavirus (2019-nCoV),1917 (2019 film),Eli Manning,Doomsday Clock,Delonte West,Tanhaji,Parasite (2019 film),Jim Lehrer,Monty Python,Elizabeth II,Bad Boys for Life,Royal Rumble (2020),Bolete,Media,The Witcher (TV series),White House Farm murders,Portal:Current events,Murder of Odin Lloyd,Pope Clement VIII,Luka Magnotta,"Meghan, Duchess of Sussex",2020 Australian Open,Needlefish,Republic Day (India),Martin Luther King Jr.,Crisis on Infinite Earths (Arrowverse),Jeff Bezos,Spanish flu,"Adama Traoré (footballer, born 1996)",Joker (2019 film),XXXX,Graham Chapman,Kepler's Supernova,Halsey (singer),BBC World Service,2020-01-23
Wiki trends,Coronavirus,Sustainable energy,2019–20 Wuhan coronavirus outbreak,Aaron Hernandez,State funeral,The Road to Wellville (film),Annabella Sciorra,Star Trek: Picard,Novel coronavirus (2019-nCoV),John Millman,Doomsday Clock,Severe acute respiratory syndrome,1917 (2019 film),Deaths in 2020,Pantone 448 C,Coco Gauff,Wuhan,Sex Education (TV series),Caroline Wozniacki,Pilot fish,Adam Schiff,Chinese New Year,Roger Federer,Jim Lehrer,Parasite (2019 film),Republic Day (India),Eli Manning,Wang Qiang (tennis),Bad Boys for Life,2020 Australian Open,The Turning (2020 film),Tanhaji,Serena Williams,Royal Rumble (2020),List of epidemics,Elizabeth II,Islamic Golden Age,Naomi Osaka,Terry Jones,Portal:Current events,Brooklyn,The Witcher (TV series),Spanish flu,2020 Australian Open – Men's Singles,2019–20 outbreak of novel coronavirus (2019-nCoV),Luka Magnotta,Billie Eilish,Wikipedia,Chilling Adventures of Sabrina (TV series),Decipherment of ancient Egyptian scripts,2020-01-24
Wiki trends,Coronavirus,2019–20 Wuhan coronavirus outbreak,Aaron Hernandez,Republic Day (India),Chinese New Year,Novel coronavirus (2019-nCoV),1917 (2019 film),Severe acute respiratory syndrome,Royal Rumble (2020),Nick Kyrgios,Adam Schiff,Carlo Urbani,Pablo Marí,Sex Education (TV series),Wuhan,Parasite (2019 film),Rat (zodiac),Deaths in 2020,Star Trek: Picard,Chilling Adventures of Sabrina (TV series),Triple J Hottest 100,Kelis,Bad Boys for Life,Tanhaji,Vikings,Erling Braut Håland,Billie Eilish,Street Dancer 3D,United States Space Force,Spanish flu,Brooklyn,Joker (2019 film),Air Force Space Command,Elizabeth II,List of epidemics,Luka Magnotta,Once Upon a Time in Hollywood,The Witcher (TV series),2020 Australian Open,Chinese zodiac,The Turning (2020 film),Mary Louise Kelly,Mehmed the Conqueror,October Faction (TV series),List of I'm a Celebrity...Get Me Out of Here! contestants (UK),Annabella Sciorra,Kepler's Supernova,Severe acute respiratory syndrome-related coronavirus,Jay Sekulow,CeeLo Green,2020-01-25
Wiki trends,Special:Search,Coronavirus,Kobe Bryant sexual assault case,Sikorsky S-76,2019–20 Wuhan coronavirus outbreak,Republic Day (India),Rick Fox,Joe Bryant,Doordarshan,Royal Rumble (2020),Aaron Hernandez,Adam Driver,"Calabasas, California",Death of Kobe Bryant,LeBron James,1917 (2019 film),Novel coronavirus (2019-nCoV),Halsey (singer),Sofia Kenin,Christine Keeler,Deaths in 2020,UFC Fight Night: Blaydes vs. dos Santos,Michael Jordan,Severe acute respiratory syndrome,List of National Basketball Association career scoring leaders,Wuhan,Wikipedia,Sex Education (TV series),Boeing 777X,Kareem Abdul-Jabbar,62nd Annual Grammy Awards,Parasite (2019 film),Watts family murders,Worlds Collide (2020),Shaquille O'Neal,Bad Boys for Life,Chilling Adventures of Sabrina (TV series),Ashleigh Barty,Joker (2019 film),2020 Pro Bowl,Jason Cummings,Elizabeth II,Once Upon a Time in Hollywood,Tanhaji,Brooklyn,Márton Fucsovics,Spanish flu,List of epidemics,Chinese New Year,Street Dancer 3D,2020-01-26
