What,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,UTC Date
Wiki trends,Kirk Douglas,Fearless Nadia,Oprah Winfrey,Special:RecentChangesLinked,Special:CreateAccount,75th Golden Globe Awards,"Three Billboards Outside Ebbing, Missouri",Frances McDormand,Tommy Wiseau,XHamster,Tonya Harding,Michael Douglas,File:ITVBe logo 2014-.svg,Stedman Graham,Sam Rockwell,Big Little Lies (TV series),Lady Bird (film),Golden Globe Award,The Shape of Water (film),Catherine Zeta-Jones,Guillermo del Toro,Saoirse Ronan,James Franco,The Room (film),Philippe Coutinho,Recy Taylor,The Disaster Artist (film),Gary Oldman,Leslie Bibb,The End of the F***ing World,NATO phonetic alphabet,Laura Dern,Barbra Streisand,Elizabeth II,Carol Burnett,List of Black Mirror episodes,The Handmaid's Tale,The Marvelous Mrs. Maisel,"Princess Margaret, Countess of Snowdon",Queen Victoria,Rachel Brosnahan,Ewan McGregor,Har Gobind Khorana,Black Mirror,Special:ElectronPdf,Nicole Kidman,Bat Masterson,Call Me by Your Name (film),Deaths in 2018,"I, Tonya",2018-01-08
Wiki trends,Har Gobind Khorana,Special:RecentChangesLinked,Nick Saban,Special:CreateAccount,Oprah Winfrey,XHamster,Jalen Hurts,Jake Fromm,Tonya Harding,Kendrick Lamar,Stedman Graham,The End of the F***ing World,Tua Tagovailoa,Alabama Crimson Tide football,File:ITVBe logo 2014-.svg,Special:ElectronPdf,College football national championships in NCAA Division I FBS,Deaths in 2018,List of Black Mirror episodes,Tommy Wiseau,Elizabeth II,"Princess Margaret, Countess of Snowdon",Black Mirror,Kirby Smart,Bitcoin,The Shape of Water (film),2018 College Football Playoff National Championship,Darth Vader,Arie Luyendyk Jr.,Nancy Kerrigan,"Three Billboards Outside Ebbing, Missouri",Kirk Douglas,Special:Watchlist,Donald Trump,Philippe Coutinho,Royal Rumble (2018),"Prince Philip, Duke of Edinburgh",HRT 2,Jon Gruden,Bat Masterson,Special:CiteThisPage,Star Wars: The Last Jedi,NATO phonetic alphabet,Georgia Bulldogs football,Special:Book,Michael Wolff (journalist),The Greatest Showman,Cardi B,Herschel Walker,Jeff Bezos,2018-01-09
Wiki trends,Special:RecentChangesLinked,Special:CreateAccount,Robert Gould Shaw,Frank John William Goldsmith,XHamster,Tonya Harding,Har Gobind Khorana,Oprah Winfrey,The End of the F***ing World,File:ITVBe logo 2014-.svg,Nancy Kerrigan,Deaths in 2018,Bitcoin,National Football League,Jeff Bezos,Jon Gruden,Elizabeth II,Black Mirror,List of Black Mirror episodes,"Princess Margaret, Countess of Snowdon",Darth Vader,Nick Saban,Special:ElectronPdf,James Franco,List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of British stand-up comedians,List of Canadian stand-up comedians,Hrithik Roshan,Special:Watchlist,George Dantzig,Royal Rumble (2018),Cardi B,"Prince Philip, Duke of Edinburgh",Tommy Wiseau,Star Wars: The Last Jedi,The Greatest Showman,Meghan Markle,Special:CiteThisPage,Winston Churchill,Kirk Douglas,Shyla Stylez,Gianni Versace,Donald Trump,Theodore Roosevelt,The Shape of Water (film),Logan Paul,Tiger Zinda Hai,Illuminati,2018-01-10
Wiki trends,Special:RecentChangesLinked,Special:CreateAccount,XHamster,Prisencolinensinainciusol,Tonya Harding,Flyting,Ralph Nader,Logan Paul,The End of the F***ing World,Deaths in 2018,Cardi B,Nancy Kerrigan,File:ITVBe logo 2014-.svg,Alan Paton,Eddie Clarke,Elizabeth II,Bitcoin,Black Mirror,Quine (computing),Eric Greitens,"Princess Margaret, Countess of Snowdon",Yerry Mina,Oprah Winfrey,Special:ElectronPdf,List of Black Mirror episodes,James Franco,Special:Watchlist,Motörhead,List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of Canadian stand-up comedians,List of British stand-up comedians,Darth Vader,Jessica Falkholt,Margot Robbie,"Prince Philip, Duke of Edinburgh",James Hong,Lady of the Lake,Martin Luther King Jr.,Jeff Bezos,Star Wars: The Last Jedi,The Greatest Showman,Winston Churchill,The Shape of Water (film),Tiger Zinda Hai,Aokigahara,Special:CiteThisPage,Special:Book,Tommy Wiseau,2018-01-11
Wiki trends,Tonya Harding,Special:RecentChangesLinked,XHamster,Nancy Kerrigan,Special:CreateAccount,Homeowner association,HTTP cookie,The End of the F***ing World,Swami Vivekananda,Deaths in 2018,Elizabeth II,Martin Luther King Jr.,File:ITVBe logo 2014-.svg,"Princess Margaret, Countess of Snowdon",Donald Trump,Black Mirror,Cardi B,Camila Cabello,Jeff Bezos,Special:ElectronPdf,Bitcoin,List of Black Mirror episodes,Special:Watchlist,Stormy Daniels,HRT 2,Ellen DeGeneres,JSON Web Token,"Prince Philip, Duke of Edinburgh",Margot Robbie,James Franco,Winston Churchill,Logan Paul,List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of British stand-up comedians,List of Canadian stand-up comedians,List of macOS components,The Greatest Showman,Darth Vader,The Post (film),"I, Tonya",XXX (franchise),Star Wars: The Last Jedi,Dick Durbin,The Shape of Water (film),Oprah Winfrey,Special:Book,Dipak Misra,Thaanaa Serndha Koottam,2018-01-12
Wiki trends,File:ITVBe logo 2014-.svg,Zhou Youguang,HTTP cookie,XHamster,Ahn Jung-hwan,JSON Web Token,Stormy Daniels,Special:CreateAccount,Tonya Harding,Otilonium bromide,Magic cookie,Cookie (disambiguation),File:Question book-new.svg,Access token,The End of the F***ing World,Session token,Elizabeth II,Keith Jackson,"Princess Margaret, Countess of Snowdon",Deaths in 2018,Lohri,Nancy Kerrigan,Denise Richards,Yerry Mina,List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of British stand-up comedians,List of Canadian stand-up comedians,Evercookie,Jeff Bezos,Black Mirror,Winston Churchill,Special:ElectronPdf,Bella Emberg,Special:Book,Camila Cabello,Harper Lee,List of Black Mirror episodes,"Prince Philip, Duke of Edinburgh",Donald Trump,The Greatest Showman,Special:Watchlist,Cardi B,David Letterman,Bigg Boss 11,The Post (film),Darth Vader,Queen Victoria,"Three Billboards Outside Ebbing, Missouri",2018-01-13
Wiki trends,File:ITVBe logo 2014-.svg,Schöningen Spears,Mark Cuban,XHamster,Bigg Boss 11,HTTP cookie,Tom Brady,Mahasweta Devi,Sam Rockwell,Special:CreateAccount,JSON Web Token,Case Keenum,Ben Roethlisberger,Elizabeth II,List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of Canadian stand-up comedians,List of British stand-up comedians,Makar Sankranti,Cookie (disambiguation),Zhou Youguang,Cruise control,File:Question book-new.svg,Tonya Harding,The End of the F***ing World,Blake Bortles,"Princess Margaret, Countess of Snowdon",List of Super Bowl champions,Chelsea Manning,Shilpa Shinde,Halsey (singer),Jacksonville Jaguars,Magic cookie,Winston Churchill,Deaths in 2018,Black Mirror,Otilonium bromide,"Prince Philip, Duke of Edinburgh",Eliza Dushku,Murder of Travis Alexander,List of Black Mirror episodes,Queen Victoria,Marcus Mariota,P. T. Barnum,Evercookie,The Greatest Showman,Martin Luther King Jr.,Nick Foles,Special:Book,2018-01-14
Wiki trends,Dolores O'Riordan,HTTP cookie,JSON Web Token,Sears Catalog Home,Martin Luther King Jr.,The Cranberries,Access token,Session token,Case Keenum,Queen Victoria,File:ITVBe logo 2014-.svg,XHamster,Cyrille Regis,File:Question book-new.svg,Stefon Diggs,Cookie (disambiguation),UFC Fight Night: Stephens vs. Choi,Special:CreateAccount,Magic cookie,Martin Luther King Jr. Day,Elizabeth II,"Skol, Vikings",Blue Monday (date),James Earl Ray,Carillion,Deaths in 2018,Drew Brees,Minnesota Vikings,Shilpa Shinde,Murder of Travis Alexander,Evercookie,"Princess Margaret, Countess of Snowdon",Schöningen Spears,Aziz Ansari,Marcus Williams (safety),Special:ElectronPdf,The End of the F***ing World,Paul Lambert,King of the Hill,Exo (band),Web analytics,Tonya Harding,List of Super Bowl champions,Facebook,"Prince Philip, Duke of Edinburgh",Black Mirror,Meghan Markle,Edward VII,Eliza Dushku,Zombie cookie,2018-01-15
Wiki trends,Dolores O'Riordan,HTTP cookie,JSON Web Token,Access token,Katy Jurado,The Cranberries,Session token,File:ITVBe logo 2014-.svg,Martin Luther King Jr.,XHamster,Glenn Shadix,Special:CreateAccount,Queen Victoria,Deaths in 2018,Magic cookie,James Earl Ray,Elizabeth II,Kirstjen Nielsen,Murder of Travis Alexander,Danica Patrick,Special:ElectronPdf,Cookie (disambiguation),"Princess Margaret, Countess of Snowdon",File:Question book-new.svg,Aziz Ansari,Carillion,The End of the F***ing World,File:HTTP cookie exchange.svg,Royal Rumble (2018),Columbine High School massacre,Special:Watchlist,Gianni Versace,Darth Vader,Bitcoin,Black Mirror,Martin Luther King Jr. Day,"Prince Philip, Duke of Edinburgh",Zombie (song),List of Black Mirror episodes,Tonya Harding,Winston Churchill,Wendi Deng Murdoch,Cyrille Regis,Special:Book,XXX (franchise),Donald Trump,The Greatest Showman,List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,2018-01-16
Wiki trends,Dendrocnide moroides,File:ITVBe logo 2014-.svg,Dolores O'Riordan,XHamster,Special:CreateAccount,Bob Dole,Gianni Versace,Kirstjen Nielsen,Deaths in 2018,The Cranberries,Ronaldinho,Special:ElectronPdf,Black Lightning,Elizabeth II,List of macOS components,Jo Jo White,Korean Unification Flag,Bitcoin,Martin Luther King Jr.,Andrew Cunanan,Black Lightning (TV series),Queen Victoria,Darth Vader,Cory Booker,"Princess Margaret, Countess of Snowdon",Mackenzie McDonald,Theo Walcott,Murder of Travis Alexander,Jessica Falkholt,The End of the F***ing World,Special:Watchlist,Donald Trump,Royal Rumble (2018),Betty White,Tyler Hilinski,Black Mirror,Aziz Ansari,Eastbourne manslaughter,List of United States stand-up comedians,Locked-in syndrome,List of stand-up comedians,Ann Curry,List of Australian stand-up comedians,List of Canadian stand-up comedians,List of British stand-up comedians,"Prince Philip, Duke of Edinburgh",XXX (franchise),Special:Book,List of Black Mirror episodes,Katy Jurado,2018-01-17
Wiki trends,Special:Search,HTTP cookie,Access token,Session token,File:Question book-new.svg,Cookie (disambiguation),Gianni Versace,Magic cookie,Andrew Cunanan,Evercookie,Bobbie the Wonder Dog,XHamster,Chris Hansen,Web analytics,Click fraud,Special:CreateAccount,Zombie cookie,Wikipedia:Spoken articles,Facebook,Secure cookies,Enterprise JavaBeans,Dolores O'Riordan,Kashinath (actor),The Assassination of Gianni Versace: American Crime Story,Donatella Versace,Ted Bundy,Antonio D'Amico,File:HTTP cookie exchange.svg,Allegra Versace,Deaths in 2018,Special:ElectronPdf,File:ITVBe logo 2014-.svg,Peter Wyngarde,United States military chocolate,Darth Vader,Bob Dole,Elizabeth II,File:Cookie-sniffing.svg,Woody Allen,Special:Watchlist,File:Third party cookie.png,File:Cookie-theft.svg,"Princess Margaret, Countess of Snowdon",Bitcoin,Queen Victoria,Camila Giorgi,List of United States stand-up comedians,List of stand-up comedians,Donald Trump,List of Australian stand-up comedians,2018-01-18
Wiki trends,JSON Web Token,Access token,Session token,HTTP cookie,Alan Alda,XHamster,Special:CreateAccount,Gianni Versace,File:ITVBe logo 2014-.svg,Andrew Cunanan,Betacam,Dolores O'Riordan,Jacinda Ardern,Deaths in 2018,Liam Neeson,USA Gymnastics sex abuse scandal,Darth Vader,Stormy Daniels,Bobbie the Wonder Dog,Nick Kyrgios,Special:ElectronPdf,File:Question book-new.svg,Helen Mirren,Elizabeth II,The Assassination of Gianni Versace: American Crime Story,Special:Watchlist,Jo-Wilfried Tsonga,"Princess Margaret, Countess of Snowdon",Donatella Versace,Kanye West,Government shutdowns in the United States,List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of Canadian stand-up comedians,List of British stand-up comedians,Government shutdown in the United States,List of macOS components,Daniel Day-Lewis,Queen Victoria,12 Strong,Laverne Cox,Eric Lindros,Bitcoin,The End of the F***ing World,Donald Trump,Aly Raisman,Sigrid (singer),Black Mirror,Woody Allen,2018-01-19
Wiki trends,File:ITVBe logo 2014-.svg,Government shutdowns in the United States,XHamster,Fredo Santana,Lauren Davis,Otilonium bromide,United States federal government shutdown of 2013,Tom Petty,Special:CreateAccount,Gianni Versace,Geology,Andrew Cunanan,Deaths in 2018,1975 Australian constitutional crisis,Liam Neeson,Darth Vader,Ed Sheeran,UFC 220,Elizabeth II,USA Gymnastics sex abuse scandal,Dolores O'Riordan,United States federal government shutdown of 2018,Aly Raisman,"Princess Margaret, Countess of Snowdon",Deferred Action for Childhood Arrivals,Special:ElectronPdf,Helen Mirren,Simona Halep,Queen Victoria,List of United States stand-up comedians,The Greatest Showman,List of stand-up comedians,List of Australian stand-up comedians,List of Canadian stand-up comedians,List of British stand-up comedians,Special:Watchlist,Winston Churchill,Naomi Osaka,Donald Trump,The Open House,Stormy Daniels,Roger Federer,The End of the F***ing World,12 Strong,Alexis Sánchez,Tonya Harding,"Prince Philip, Duke of Edinburgh",XXX (franchise),Phyllis Smith,Jan Lewan,2018-01-20
Wiki trends,Geology,UFC 220,Dipprasad Pun,Tom Brady,XHamster,Government shutdowns in the United States,Stipe Miocic,Griselda Blanco,Blake Bortles,List of Super Bowl champions,Nick Kyrgios,Troye Sivan,Special:CreateAccount,New England Patriots,List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of British stand-up comedians,List of Canadian stand-up comedians,Jacksonville Jaguars,Francis Ngannou,Fredo Santana,Otilonium bromide,Jessica Chastain,Danny Amendola,Grigor Dimitrov,Elizabeth II,Deaths in 2018,Diego Schwartzman,Gianni Versace,Darth Vader,"Princess Margaret, Countess of Snowdon",Andrew Cunanan,Dolores O'Riordan,Tonya Harding,Queen Victoria,Bellator MMA in 2018,Winston Churchill,United States federal government shutdown of 2013,Mike Vrabel,Alexis Sánchez,Daniel Cormier,Ed Sheeran,Special:Watchlist,XXX (franchise),The Greatest Showman,The Open House,"Prince Philip, Duke of Edinburgh",Shahid Khan,P. T. Barnum,2018-01-21
Wiki trends,Sergei Eisenstein,Nick Foles,List of Super Bowl champions,Tom Brady,XHamster,Ruth Bader Ginsburg,Philadelphia Eagles,Super Bowl XXXIX,Government shutdowns in the United States,Buddhas of Bamiyan,Queen Victoria,Alexis Sánchez,Chung Hyeon,Super Bowl LII,Chris Long,New England Patriots,Morgan Freeman,Super Bowl,Howie Long,Special:CreateAccount,Henrikh Mkhitaryan,Jason Segel,Princess Eugenie of York,Griselda Blanco,Deaths in 2018,Elizabeth II,Alison Brie,Danny Amendola,"Albert, Prince Consort",List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of Canadian stand-up comedians,List of British stand-up comedians,Heath Ledger,Tennys Sandgren,Darth Vader,File:ITVBe logo 2014-.svg,Case Keenum,Rita Moreno,Novak Djokovic,Dave Franco,Doug Pederson,Princess Beatrice of York,Special:Watchlist,United States federal government shutdown of 2018,Hsieh Su-wei,"Three Billboards Outside Ebbing, Missouri","Princess Margaret, Countess of Snowdon",Millie Bobby Brown,2018-01-22
Wiki trends,90th Academy Awards,HTTP cookie,JSON Web Token,XHamster,The Shape of Water (film),Kyle Edmund,Neil Diamond,File:Question book-new.svg,Access token,Exo (band),Alexis Sánchez,Otilonium bromide,Session token,Deaths in 2018,"Three Billboards Outside Ebbing, Missouri",Cookie (disambiguation),Treeshrew,Get Out,Subhas Chandra Bose,File:ITVBe logo 2014-.svg,Royal Rumble (2018),Sergei Eisenstein,Special:CreateAccount,Nick Foles,Queen Victoria,Magic cookie,Henrikh Mkhitaryan,Darth Vader,Call Me by Your Name (film),Tom Brady,"Candaules, King of Lydia, Shews his Wife by Stealth to Gyges, One of his Ministers, as She Goes to Bed",Government shutdowns in the United States,Phantom Thread,Elizabeth II,List of Super Bowl champions,Heath Ledger,Marin Čilić,Rafael Nadal,Special:Watchlist,List of United States stand-up comedians,List of stand-up comedians,List of Australian stand-up comedians,List of Canadian stand-up comedians,List of British stand-up comedians,Evercookie,Lady Bird (film),Facebook,XXX (franchise),Hugh Masekela,The Undertaker,2018-01-23
Wiki trends,JSON Web Token,HTTP cookie,USA Gymnastics sex abuse scandal,Access token,Session token,XHamster,Centennial Light,Ursula K. Le Guin,File:Question book-new.svg,File:ITVBe logo 2014-.svg,90th Academy Awards,Cookie (disambiguation),The Shape of Water (film),Tammy Duckworth,Larry Nassar,UEFA Nations League,Special:CreateAccount,Roger Federer,Magic cookie,Deaths in 2018,Mark E. Smith,Basil Zaharoff,Padmaavat,Exo (band),Chung Hyeon,Evercookie,Darth Vader,Jazz from Hell,Rani Padmini,Royal Rumble (2018),Get Out,List of National Basketball Association career scoring leaders,Tennys Sandgren,Tonya Harding,Facebook,Tessa Jowell,Virginia Woolf,Special:Watchlist,XXX (franchise),Republic Day (India),Call Me by Your Name (film),Neil Diamond,Web analytics,August Meyszner,Special:ElectronPdf,Animals (Pink Floyd album),"Three Billboards Outside Ebbing, Missouri",Black Lightning (TV series),Elizabeth II,Zombie cookie,2018-01-24
